GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Veneer Injectors,org.cid15.aem.veneer.injectors.utils,InjectorUtils,1,87,3,13,0,25,3,11,0,6
Veneer Injectors,org.cid15.aem.veneer.injectors.impl,ValueMapFromRequestInjector,0,28,1,5,0,7,1,5,0,3
Veneer Injectors,org.cid15.aem.veneer.injectors.impl,ImageInjector,104,5,22,0,24,2,14,2,3,2
Veneer Injectors,org.cid15.aem.veneer.injectors.impl,ImageInjector.ImageAnnotationProcessor,10,0,0,0,4,0,2,0,2,0
Veneer Injectors,org.cid15.aem.veneer.injectors.impl,ReferenceInjector.ReferenceAnnotationProcessor,10,0,0,0,4,0,2,0,2,0
Veneer Injectors,org.cid15.aem.veneer.injectors.impl,ResourceResolverAdaptableInjector,0,27,1,3,0,10,1,4,0,3
Veneer Injectors,org.cid15.aem.veneer.injectors.impl,LinkInjector,28,62,3,5,4,13,4,7,2,5
Veneer Injectors,org.cid15.aem.veneer.injectors.impl,ContentPolicyInjector,21,18,1,3,4,7,3,4,2,3
Veneer Injectors,org.cid15.aem.veneer.injectors.impl,EnumInjector,0,31,0,4,0,8,0,6,0,4
Veneer Injectors,org.cid15.aem.veneer.injectors.impl,LinkInjector.LinkAnnotationProcessor,10,0,0,0,4,0,2,0,2,0
Veneer Injectors,org.cid15.aem.veneer.injectors.impl,InheritInjector,14,85,3,9,2,22,3,10,1,6
Veneer Injectors,org.cid15.aem.veneer.injectors.impl,AbstractTypedVeneeredResourceInjector,0,58,0,2,0,16,0,5,0,4
Veneer Injectors,org.cid15.aem.veneer.injectors.impl,TagInjector,14,68,3,9,2,19,3,7,1,3
Veneer Injectors,org.cid15.aem.veneer.injectors.impl,TagInjector.TagAnnotationProcessor,10,0,0,0,4,0,2,0,2,0
Veneer Injectors,org.cid15.aem.veneer.injectors.impl,AbstractVeneeredResourceInjector,0,42,0,0,0,12,0,4,0,4
Veneer Injectors,org.cid15.aem.veneer.injectors.impl,ReferenceInjector,32,105,5,15,7,29,5,11,1,5
Veneer Injectors,org.cid15.aem.veneer.injectors.impl,ModelListInjector,0,77,3,11,0,21,3,8,0,4
Veneer Injectors,org.cid15.aem.veneer.injectors.impl,ComponentInjector,131,121,20,16,33,43,17,12,5,6
Veneer Injectors,org.cid15.aem.veneer.injectors.impl,InheritInjector.InheritAnnotationProcessor,10,0,0,0,4,0,2,0,2,0
